well,sub_zone,thickness_m,n_samples,avg_phit,avg_perm_mD,avg_perm_kh_weighted_mD,kh_mD_m,n_perm_saturated,frac_saturated
1,2,141.800000,709,0.283417,14756.526158,14756.526158,2092475.409140,684,0.964739
2,2,96.400000,482,0.281791,14812.369632,14812.369632,1427912.432540,466,0.966805
3,2,81.800000,409,0.282365,14767.724693,14767.724693,1207999.879920,396,0.968215
4,2,96.800000,484,0.279537,14737.861390,14737.861390,1426624.982600,468,0.966942
5,2,80.500000,161,0.285197,14676.923468,14676.923468,1181492.339200,154,0.956522
6,2,95.000000,475,0.281146,14710.306130,14710.306130,1397479.082380,454,0.955789
7,2,170.200000,851,0.281067,14760.080137,14760.080137,2512165.639400,821,0.964747
