k,kmeans_inertia,kmeans_silhouette,gmm_bic,gmm_silhouette
2,15487.544692,0.394361,24384.860280,0.382950
3,12442.479100,0.276318,16979.343060,0.230784
4,11009.889465,0.256816,11739.641180,0.145657
5,9776.497588,0.247243,8042.756921,0.099829
6,8804.104990,0.225725,3866.215633,0.065104
7,8176.861249,0.208829,1684.383358,0.049688
8,7681.596517,0.204749,-803.654424,0.035791
