,vsh,vsh,vsh,phit,phit,phit,log_perm,log_perm,log_perm,sw,sw,sw,effective_porosity,effective_porosity,effective_porosity,hc_porosity,hc_porosity,hc_porosity
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,
0,0.805723,0.074868,240,0.191348,0.022908,240,4.007869,0.232692,240,0.384585,0.122636,240,0.037990,0.017275,240,0.117703,0.027306,240
1,0.232799,0.090416,1726,0.277268,0.022785,1726,4.175938,0.003379,1726,0.427848,0.088270,1726,0.213845,0.037598,1726,0.157892,0.022796,1726
2,0.161615,0.087096,1605,0.300131,0.022056,1605,4.176091,0.000000,1605,0.264422,0.083628,1605,0.252616,0.039096,1605,0.220131,0.025266,1605
