well,n_zones,gross_thickness_m_total,net_thickness_m_total,kh_mD_m_total,n_perm_saturated_total,ntg_well
1,5,530.200000,392.000000,2266121.073320,662.000000,0.739344
2,5,680.200000,462.200000,1763869.960080,466.000000,0.679506
3,5,390.200000,291.600000,1405687.251680,395.000000,0.747309
4,5,650.200000,438.200000,1670934.640180,457.000000,0.673946
5,5,530.500000,355.000000,1434820.879900,152.000000,0.669180
6,5,620.200000,408.000000,1692768.803940,454.000000,0.657852
7,5,550.200000,385.600000,2591531.757780,798.000000,0.700836
