well,zone,vsh_cutoff,kh_mean,kh_p_low,kh_p_high,kh_std,n_bootstrap
6,B,0.500000,1340778.806158,1316970.780560,1364444.830640,14806.609574,200
6,B,0.700000,1338744.381384,1314221.433760,1365068.094920,15649.277648,200
6,C,0.300000,62721.537364,50853.455214,75677.254792,7686.327033,200
6,C,0.500000,97507.651532,85968.926792,111819.602494,7907.228084,200
6,C,0.700000,101872.205916,90338.711356,115417.695750,7989.106357,200
6,D,0.300000,1.568788,0.495182,2.985010,0.824352,200
6,D,0.500000,9.012404,6.512482,11.654653,1.597336,200
6,D,0.700000,24.360941,20.023964,29.389305,2.979101,200
6,E,0.300000,140936.017844,120596.149730,162528.790474,13432.434905,200
6,E,0.500000,209404.297794,189295.332849,233758.028332,13288.213809,200
6,E,0.700000,231118.140890,208258.711708,255330.365251,14681.585021,200
7,A,0.300000,11462.981247,8911.251686,14852.553834,1847.575080,200
7,A,0.500000,32707.899087,28966.693574,36621.033430,2307.730122,200
7,A,0.700000,39892.594192,36561.771034,43347.205712,2145.496546,200
7,B,0.300000,2037582.883268,1976616.257516,2091000.000000,36343.403928,200
7,B,0.500000,2370285.106398,2336741.653044,2408520.212796,22447.869723,200
7,B,0.700000,2374463.717963,2336148.772548,2405753.955280,21531.783985,200
7,C,0.300000,48921.956121,37395.097695,61071.939201,7599.555569,200
7,C,0.500000,68822.713600,57061.003614,84821.770922,8483.743556,200
7,C,0.700000,71675.946760,59493.400827,85155.035935,8207.595078,200
7,D,0.300000,1.677033,0.201881,3.241209,1.024139,200
7,D,0.500000,10.418476,7.734807,13.270799,1.662129,200
7,D,0.700000,22.314834,18.415235,27.287582,2.710368,200
7,E,0.300000,75834.657950,61879.868788,91731.696928,9173.991476,200
7,E,0.500000,121208.188011,107230.986399,134967.887703,9119.615265,200
7,E,0.700000,131846.240464,119838.110187,145847.902307,8450.018131,200
